question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
how popular of a movie is [Lords of Dogtown],famous,1,how popular of a movie is [],"MATCH (m:movie {name: ""Lords of Dogtown""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, r.name AS rating, v.name AS votes",[],unmatched,
what movies was [Kevin Jakubowski] the writer of,Assassination of a High School President,1,what movies was [] the writer of,"MATCH (m:movie)-[:written_by]->(w:writer) WHERE w.name = ""Kevin Jakubowski"" RETURN m.name",[{'m.name': 'Assassination of a High School President'}],matched,
describe the movie [John Tucker Must Die] in a few words,high school|betty thomas,1,describe the movie [] in a few words,"MATCH (m:movie {name: ""John Tucker Must Die""})-[:has_tags]->(t:tag)
RETURN m.name, COLLECT(t.name) AS tags","[{'m.name': 'John Tucker Must Die', 'tags': ['betty thomas', 'high school']}]",error,"Traceback (most recent call last):
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 176, in run_baseline_langchain_flow
    neo4j_response_answers = extract_possible_answers(neo4j_response)
                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 201, in extract_possible_answers
    d = [set(v.values()) for k,v in d.items()]
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 201, in <listcomp>
    d = [set(v.values()) for k,v in d.items()]
         ^^^^^^^^^^^^^^^
TypeError: unhashable type: 'list'
"
what is the language spoken in the movie [Pinocchio],Italian,1,what is the language spoken in the movie [],"MATCH (m:movie {name: ""Pinocchio""})-[:in_language]->(l:language) RETURN l.name",[{'l.name': 'Italian'}],matched,
the director of [Three Guys Named Mike] was,Charles Walters,1,the director of [] was,"MATCH (m:movie {name: ""Three Guys Named Mike""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Charles Walters'}],matched,
"the movie [Will Success Spoil Rock Hunter?], when was it released",1957,1,"the movie [], when was it released","MATCH (m:movie {name: ""Will Success Spoil Rock Hunter?""})-[:release_year]->(y:year) RETURN y.name",[{'y.name': '1957'}],matched,
"which topics is [Drive, He Said] about",jack nicholson,1,which topics is [] about,"MATCH (m:movie)-[:has_tags]->(t:tag) WHERE m.name = ""Drive, He Said"" RETURN t.name;",[{'t.name': 'jack nicholson'}],matched,
who starred in [Salome's Last Dance],Douglas Hodge|Nickolas Grace,1,who starred in [],"MATCH (m:movie {name: ""Salome's Last Dance""})-[:starred_actors]->(a:actor) RETURN a.name;","[{'a.name': 'Nickolas Grace'}, {'a.name': 'Douglas Hodge'}]",matched,
what was the release date of [Guns of the Magnificent Seven],1969,1,what was the release date of [],"MATCH (m:movie {name: ""Guns of the Magnificent Seven""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '1969'}],matched,
how famous of a film was [Pumping Iron],famous,1,how famous of a film was [],"MATCH (m:movie {name: ""Pumping Iron""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, r.name AS imdb_rating, v.name AS imdb_votes",[],unmatched,
what movie did [Vittorio de Benedetti] write the story for,A Walk in the Clouds,1,what movie did [] write the story for,"MATCH (w:writer {name: ""Vittorio de Benedetti""})-[:written_by]-(m:movie) RETURN m.name",[{'m.name': 'A Walk in the Clouds'}],matched,
how popular is [The Wizard of Oz],famous,1,how popular is [],"MATCH (m:movie {name: ""The Wizard of Oz""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, r.name as imdb_rating, v.name as imdb_votes",[],unmatched,
can you name a film directed by [Jonathan English],Ironclad,1,can you name a film directed by [],"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Jonathan English""}) RETURN m.name",[{'m.name': 'Ironclad'}],matched,
can you describe movie [Sleeper] in a few words,futuristic|woody allen,1,can you describe movie [] in a few words,"MATCH (m:movie {name: ""Sleeper""})-[:has_tags]->(t:tag)
RETURN m.name, collect(t.name) as tags","[{'m.name': 'Sleeper', 'tags': ['woody allen', 'futuristic']}]",error,"Traceback (most recent call last):
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 176, in run_baseline_langchain_flow
    neo4j_response_answers = extract_possible_answers(neo4j_response)
                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 201, in extract_possible_answers
    d = [set(v.values()) for k,v in d.items()]
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\milishah\projects\AS.Explorations\cypher-generation\evaluation_metaqa_tomaz.py"", line 201, in <listcomp>
    d = [set(v.values()) for k,v in d.items()]
         ^^^^^^^^^^^^^^^
TypeError: unhashable type: 'list'
"
what are some words that describe movie [Dominick and Eugene],robert m. young,1,what are some words that describe movie [],"MATCH (m:movie {name: ""Dominick and Eugene""})-[:has_tags]->(t:tag)
RETURN t.name",[{'t.name': 'robert m. young'}],matched,
who was the director of [The Bothersome Man],Jens Lien,1,who was the director of [],"MATCH (m:movie {name: ""The Bothersome Man""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Jens Lien'}],matched,
what was the rating of [Toy Soldiers],good,1,what was the rating of [],"MATCH (m:movie {name: ""Toy Soldiers""})-[:has_imdb_rating]->(r:imdbrating)
RETURN r.name as rating",[{'rating': 'good'}],matched,
what is a movie written by [Norman Bogner],Privilege,1,what is a movie written by [],"MATCH (m:movie)-[:written_by]->(w:writer) WHERE w.name = ""Norman Bogner"" RETURN m.name",[{'m.name': 'Privilege'}],matched,
which words describe movie [The Lady Vanishes],bd-r|alfred hitchcock|train,1,which words describe movie [],"MATCH (m:movie {name: ""The Lady Vanishes""})-[:has_tags]->(t:tag)
RETURN t.name","[{'t.name': 'train'}, {'t.name': 'alfred hitchcock'}, {'t.name': 'bd-r'}, {'t.name': 'cybill shepherd'}, {'t.name': 'herbert lom'}, {'t.name': 'remake'}]",matched,
what words describe [Algiers],own,1,what words describe [],"MATCH (m:movie {name: ""Algiers""})-[:has_tags]->(t:tag)
RETURN t.name",[{'t.name': 'own'}],matched,
who directed the film [Abandon],Stephen Gaghan,1,who directed the film [],"MATCH (m:movie {name: ""Abandon""})-[:directed_by]->(d:director) RETURN d.name;",[{'d.name': 'Stephen Gaghan'}],matched,
what movies can be described with [james parrott],The Music Box|Pardon Us|Two Tars,1,what movies can be described with [],"MATCH (m:movie)-[:written_by|:directed_by|:starred_actors]->(p:writer {name: ""James Parrott""}) RETURN m.name",[],unmatched,
what is the genre for the movie [Catacombs],Horror,1,what is the genre for the movie [],"MATCH (m:movie {name: ""Catacombs""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Horror'}],matched,
which films can be described by [grief],The Queen,1,which films can be described by [],MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = 'grief' RETURN m.name,[{'m.name': 'The Queen'}],matched,
[Paul Cotter] directed which movies,Bomber,1,[] directed which movies,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Paul Cotter""}) RETURN m.name",[{'m.name': 'Bomber'}],matched,
which movies was [Max Ophüls] the writer of,The Earrings of Madame de...|Lola Montès|La Ronde|Le Plaisir|Everybody's Woman,1,which movies was [] the writer of,"MATCH (m:movie)-[:written_by]->(w:writer) WHERE w.name = ""Max Ophüls"" RETURN m.name","[{'m.name': 'The Earrings of Madame de...'}, {'m.name': 'Lola Montès'}, {'m.name': 'La Ronde'}, {'m.name': 'Le Plaisir'}, {'m.name': ""Everybody's Woman""}]",matched,
what films did [Dennis Iliadis] direct,The Last House on the Left|+1,1,what films did [] direct,MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = 'Dennis Iliadis' RETURN m.name,"[{'m.name': '+1'}, {'m.name': 'The Last House on the Left'}]",matched,
what films can be described by [han dynasty],Red Cliff,1,what films can be described by [],"MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = ""han dynasty"" RETURN m.name",[{'m.name': 'Red Cliff'}],matched,
"what is the primary language in the film [Bread, Love and Dreams]",Italian,1,what is the primary language in the film [],"MATCH (m:movie {name: ""Bread, Love and Dreams""})-[:in_language]->(l:language) RETURN l.name",[{'l.name': 'Italian'}],matched,
what type of film is [Baby Boom],Comedy,1,what type of film is [],"MATCH (m:movie {name: ""Baby Boom""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Comedy'}],matched,
the film [Lockout] starred which actors,Guy Pearce|Maggie Grace|Vincent Regan|Joseph Gilgun,1,the film [] starred which actors,"MATCH (m:movie {name: ""Lockout""})-[:starred_actors]->(a:actor) RETURN a.name","[{'a.name': 'Joseph Gilgun'}, {'a.name': 'Vincent Regan'}, {'a.name': 'Maggie Grace'}, {'a.name': 'Guy Pearce'}]",matched,
who in the world wrote [The Life Aquatic with Steve Zissou],Wes Anderson|Noah Baumbach,1,who in the world wrote [],"MATCH (m:movie {name: ""The Life Aquatic with Steve Zissou""})-[:written_by]->(w:writer) RETURN w.name","[{'w.name': 'Noah Baumbach'}, {'w.name': 'Wes Anderson'}]",matched,
what movies did [Seton I. Miller] write,The Adventures of Robin Hood|The Sea Hawk|Here Comes Mr. Jordan|Kid Galahad|Murders in the Zoo|Murder on a Honeymoon,1,what movies did [] write,"MATCH (m:movie)-[:written_by]->(w:writer) WHERE w.name = ""Seton I. Miller"" RETURN m.name;","[{'m.name': 'Kid Galahad'}, {'m.name': 'Murders in the Zoo'}, {'m.name': 'Here Comes Mr. Jordan'}, {'m.name': 'The Sea Hawk'}, {'m.name': 'Murder on a Honeymoon'}, {'m.name': 'The Adventures of Robin Hood'}]",matched,
what was the popularity rating of [Doctor Zhivago],famous,1,what was the popularity rating of [],"MATCH (m:movie {name: ""Doctor Zhivago""})-[:has_imdb_rating]->(rating:imdbrating)
RETURN rating.name AS Popularity_Rating",[],unmatched,
which words describe film [Repast],mikio naruse,1,which words describe film [],"MATCH (m:movie {name: ""Repast""})-[:has_tags]->(t:tag) RETURN t.name;",[{'t.name': 'mikio naruse'}],matched,
what does [Scott Adkins] act in,The Legend of Hercules|Assassination Games|Ninja,1,what does [] act in,"MATCH (a:actor {name: ""Scott Adkins""})<-[:starred_actors]-(m:movie) RETURN m.name","[{'m.name': 'The Legend of Hercules'}, {'m.name': 'Ninja'}, {'m.name': 'Assassination Games'}]",matched,
what movies did [Dominic West] star in,The Awakening|28 Days,1,what movies did [] star in,"MATCH (a:actor {name: ""Dominic West""})<-[:starred_actors]-(m:movie) RETURN m.name","[{'m.name': '28 Days'}, {'m.name': 'The Awakening'}]",matched,
how would people rate [Eight Below],good,1,how would people rate [],"MATCH (m:movie {name: ""Eight Below""})-[:has_imdb_rating]->(r:imdbrating)
RETURN r.name",[{'r.name': 'good'}],matched,
"who is the director of [Lust, Caution]",Ang Lee,1,who is the director of [],"MATCH (m:movie {name: ""Lust, Caution""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Ang Lee'}],matched,
"what is the main language in [Welcome Back, Mr. McDonald]",Japanese,1,what is the main language in [],"MATCH (m:movie {name: ""Welcome Back, Mr. McDonald""})-[:in_language]->(l:language) RETURN l.name as main_language",[{'main_language': 'Japanese'}],matched,
which films are about [production i.g],Dead Leaves,1,which films are about [],MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = 'production i.g' RETURN m.name,[{'m.name': 'Dead Leaves'}],matched,
can you give a few words describing what [Kids Return] is about,japanese|takeshi kitano,1,can you give a few words describing what [] is about,"MATCH (m:movie {name: ""Kids Return""})-[:has_tags]->(t:tag)
RETURN t.name","[{'t.name': 'takeshi kitano'}, {'t.name': 'japanese'}]",matched,
what is the language spoken in the film [13 Assassins],Japanese,1,what is the language spoken in the film [],"MATCH (m:movie {name: ""13 Assassins""})-[:in_language]->(l:language) RETURN l.name;",[{'l.name': 'Japanese'}],matched,
what rating would people give [White Banners],good,1,what rating would people give [],"MATCH (m:movie {name: ""White Banners""})-[:has_imdb_rating]->(r:imdbrating)
RETURN r.name as Rating",[{'Rating': 'good'}],matched,
[Michael Patrick King] was the director on which movies,Sex and the City|Sex and the City 2,1,[] was the director on which movies,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Michael Patrick King"" RETURN m.name","[{'m.name': 'Sex and the City 2'}, {'m.name': 'Sex and the City'}]",matched,
the film [My Life Without Me] was directed by who,Isabel Coixet,1,the film [] was directed by who,"MATCH (m:movie {name: ""My Life Without Me""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Isabel Coixet'}],matched,
what movies are about [noah baumbach],The Squid and the Whale|Frances Ha|Greenberg|Margot at the Wedding|Kicking and Screaming,1,what movies are about [],"MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = ""Noah Baumbach"" RETURN m.name",[],unmatched,
"who is listed as director for [South of Heaven, West of Hell]",Dwight Yoakam,1,who is listed as director for [],"MATCH (m:movie {name: ""South of Heaven, West of Hell""})-[:directed_by]->(d:director) RETURN d.name;",[{'d.name': 'Dwight Yoakam'}],matched,
which person wrote the movie [All You Need Is Cash],Eric Idle,1,which person wrote the movie [],"MATCH (m:movie {name: ""All You Need Is Cash""})-[:written_by]->(p:writer) RETURN p.name;",[{'p.name': 'Eric Idle'}],matched,
what films are about [marco brambilla],Demolition Man|Excess Baggage,1,what films are about [],"MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = ""marco brambilla"" RETURN m.name","[{'m.name': 'Demolition Man'}, {'m.name': 'Excess Baggage'}]",matched,
[Maurice Tourneur] was the director of which films,The Last of the Mohicans|The Blue Bird,1,[] was the director of which films,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Maurice Tourneur"" RETURN m.name","[{'m.name': 'The Blue Bird'}, {'m.name': 'The Last of the Mohicans'}]",matched,
who directed [Clay Pigeons],David Dobkin,1,who directed [],"MATCH (m:movie {name: ""Clay Pigeons""})-[:directed_by]->(d:director)
RETURN d.name",[{'d.name': 'David Dobkin'}],matched,
what did [Timothy Linh Bui] direct,Powder Blue|Green Dragon,1,what did [] direct,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Timothy Linh Bui"" RETURN m.name","[{'m.name': 'Green Dragon'}, {'m.name': 'Powder Blue'}]",matched,
which screenwriter wrote the script for [The 11th Hour],Leila Conners|Nadia Conners|Leonardo DiCaprio,1,which screenwriter wrote the script for [],"MATCH (m:movie {name: ""The 11th Hour""})-[:written_by]->(w:writer) RETURN w.name;","[{'w.name': 'Leonardo DiCaprio'}, {'w.name': 'Nadia Conners'}, {'w.name': 'Leila Conners'}]",matched,
who acted in [The Return of Frank James],Henry Fonda|Gene Tierney,1,who acted in [],"MATCH (m:movie {name: ""The Return of Frank James""})-[:starred_actors]->(a:actor)
RETURN a.name","[{'a.name': 'Gene Tierney'}, {'a.name': 'Henry Fonda'}]",matched,
what is the primary language in [Hana],Japanese,1,what is the primary language in [],"MATCH (m:movie {name: ""Hana""})-[:in_language]->(l:language)
RETURN l.name as primary_language",[{'primary_language': 'Japanese'}],matched,
can you give a few words describing [Begin Again],music|mark ruffalo|john carney,1,can you give a few words describing [],"MATCH (m:movie {name: ""Begin Again""})-[:has_tags]->(t:tag) RETURN t.name","[{'t.name': 'john carney'}, {'t.name': 'mark ruffalo'}, {'t.name': 'music'}]",matched,
what was the genre of the movie [Charleston],Comedy,1,what was the genre of the movie [],"MATCH (m:movie {name: ""Charleston""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Comedy'}],matched,
when was [The Fifth Element] released,1997,1,when was [] released,"MATCH (m:movie {name: ""The Fifth Element""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '1997'}],matched,
[Cezary Pazura] appears in which movies,Kiler,1,[] appears in which movies,"MATCH (a:actor {name: ""Cezary Pazura""})-[:starred_actors]-(m:movie) RETURN m.name",[{'m.name': 'Kiler'}],matched,
which movies are about [mimi leder],Deep Impact|Pay It Forward|The Peacemaker,1,which movies are about [],"MATCH (m:movie)-[:has_tags]->(t:tag) WHERE t.name = ""Mimi Leder"" RETURN m.name",[],unmatched,
when was the movie [Bride of the Monster] released,1955,1,when was the movie [] released,"MATCH (m:movie {name: ""Bride of the Monster""})-[:release_year]->(y:year) RETURN y.name;",[{'y.name': '1955'}],matched,
what is the language spoken in [Frozen Land],Finnish,1,what is the language spoken in [],"MATCH (m:movie {name: ""Frozen Land""})-[:in_language]->(l:language)
RETURN l.name",[{'l.name': 'Finnish'}],matched,
what films did [Chris Columbus] act in,Fog City Mavericks,1,what films did [] act in,"MATCH (a:actor {name: ""Chris Columbus""})-[:starred_actors]-(m:movie) RETURN m.name",[{'m.name': 'Fog City Mavericks'}],matched,
what sort of film is [Never Been Kissed],Comedy,1,what sort of film is [],"MATCH (m:movie {name: ""Never Been Kissed""})-[:has_genre]->(g:genre) RETURN g.name",[{'g.name': 'Comedy'}],matched,
the film [Man with the Gun] was written by who,Richard Wilson,1,the film [] was written by who,"MATCH (m:movie {name: ""Man with the Gun""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'Richard Wilson'}],matched,
"what film genre is [Like Father, Like Son]",Drama,1,what film genre is [],"MATCH (m:movie {name: ""Like Father, Like Son""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Drama'}],matched,
which film did [Virginia Woolf] write,Orlando|Mrs Dalloway,1,which film did [] write,"MATCH (w:writer {name: ""Virginia Woolf""})-[:written_by]-(m:movie) RETURN m.name;","[{'m.name': 'Orlando'}, {'m.name': 'Mrs Dalloway'}]",matched,
the director of [Demon Seed] was who,Donald Cammell,1,the director of [] was who,"MATCH (m:movie {name: ""Demon Seed""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Donald Cammell'}],matched,
is [Harriet Craig] considered good,good,1,is [] considered good,"MATCH (m:movie {name: 'Harriet Craig'})-[:has_imdb_rating]->(r:imdbrating)
WHERE toFloat(r.name) >= 7.0
RETURN m.name, r.name AS imdb_rating",[],unmatched,
which movie did [Jeremy Leven] write,Don Juan DeMarco|Creator|Girl on a Bicycle|Crazy as Hell,1,which movie did [] write,"MATCH (m:movie)-[:written_by]->(w:writer) WHERE w.name = ""Jeremy Leven"" RETURN m.name","[{'m.name': 'Girl on a Bicycle'}, {'m.name': 'Crazy as Hell'}, {'m.name': 'Don Juan DeMarco'}, {'m.name': 'Creator'}]",matched,
what movies did [Prakash Raj] act in,Singham|Dabangg 2,1,what movies did [] act in,"MATCH (a:actor {name: ""Prakash Raj""})-[:starred_actors]-(m:movie) RETURN m.name","[{'m.name': 'Singham'}, {'m.name': 'Dabangg 2'}]",matched,
what film did [Gerald Clarke] write,Capote,1,what film did [] write,"MATCH (w:writer {name: ""Gerald Clarke""})-[:written_by]-(m:movie) RETURN m.name;",[{'m.name': 'Capote'}],matched,
what was the genre of [Fantastic Four],Action,1,what was the genre of [],"MATCH (m:movie {name: ""Fantastic Four""})-[:has_genre]->(g:genre) RETURN g.name;",[{'g.name': 'Action'}],matched,
who wrote the movie [Kinsey],Bill Condon,1,who wrote the movie [],"MATCH (m:movie {name: ""Kinsey""})-[:written_by]->(w:writer) RETURN w.name",[{'w.name': 'Bill Condon'}],matched,
who wrote the film [Harry and Tonto],Paul Mazursky|Josh Greenfeld,1,who wrote the film [],"MATCH (m:movie {name: ""Harry and Tonto""})-[:written_by]->(w:writer)
RETURN w.name","[{'w.name': 'Josh Greenfeld'}, {'w.name': 'Paul Mazursky'}]",matched,
who are the actors in [Electric Dreams],Virginia Madsen|Bud Cort|Lenny von Dohlen,1,who are the actors in [],"MATCH (m:movie {name: ""Electric Dreams""})-[:starred_actors]->(a:actor) RETURN a.name","[{'a.name': 'Lenny von Dohlen'}, {'a.name': 'Bud Cort'}, {'a.name': 'Virginia Madsen'}]",matched,
what films did [Selwyn Jepson] write,Stage Fright,1,what films did [] write,"MATCH (w:writer {name: ""Selwyn Jepson""})-[:written_by]-(m:movie) RETURN m.name",[{'m.name': 'Stage Fright'}],matched,
who was the writer of [The Rocky Horror Picture Show],Richard O'Brien|Jim Sharman,1,who was the writer of [],"MATCH (m:movie {name: ""The Rocky Horror Picture Show""})-[:written_by]->(w:writer) RETURN w.name","[{'w.name': 'Jim Sharman'}, {'w.name': ""Richard O'Brien""}]",matched,
what is the genre of [Sweet Sweetback's Baadasssss Song],Drama,1,what is the genre of [],"MATCH (m:movie {name: ""Sweet Sweetback's Baadasssss Song""})-[:has_genre]->(g:genre)
RETURN g.name",[{'g.name': 'Drama'}],matched,
what language is [On the Road] in,English|French,1,what language is [] in,"MATCH (m:movie {name: ""On the Road""})-[:in_language]->(l:language) RETURN l.name","[{'l.name': 'French'}, {'l.name': 'English'}]",matched,
what did audiences think of [Hearts of the West],good,1,what did audiences think of [],"MATCH (m:movie {name: ""Hearts of the West""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, r.name as imdb_rating, v.name as imdb_votes",[],unmatched,
which movies can be described by [jesse peretz],Our Idiot Brother,1,which movies can be described by [],"MATCH (m:movie)-[:has_tags]->(t:tag), (m)-[:directed_by]->(d:director) WHERE d.name = ""Jesse Peretz"" RETURN m.name, t.name","[{'m.name': 'The Ex', 't.name': 'zach braff'}, {'m.name': 'Our Idiot Brother', 't.name': 'jesse peretz'}, {'m.name': 'Our Idiot Brother', 't.name': 'paul rudd'}, {'m.name': 'Our Idiot Brother', 't.name': 'zooey deschanel'}]",matched,
which movie was [David Denneen] the director for,Restraint,1,which movie was [] the director for,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""David Denneen"" RETURN m.name;",[{'m.name': 'Restraint'}],matched,
which person wrote [Gambling City],Ernesto Gastaldi|Sergio Martino,1,which person wrote [],"MATCH (m:movie {name: ""Gambling City""})-[:written_by]->(p:writer) RETURN p.name;","[{'p.name': 'Sergio Martino'}, {'p.name': 'Ernesto Gastaldi'}]",matched,
what is the genre of the film [The Whole Nine Yards],Comedy|Crime,1,what is the genre of the film [],"MATCH (m:movie {name: ""The Whole Nine Yards""})-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Comedy'}, {'g.name': 'Crime'}]",matched,
who's the director of [Jungle 2 Jungle],John Pasquin,1,who's the director of [],"MATCH (m:movie {name: ""Jungle 2 Jungle""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'John Pasquin'}],matched,
who stars in [Anton Chekhov's The Duel],Andrew Scott|Fiona Glascott,1,who stars in [],"MATCH (m:movie)-[:starred_actors]->(a:actor) WHERE m.name = ""Anton Chekhov's The Duel"" RETURN a.name","[{'a.name': 'Fiona Glascott'}, {'a.name': 'Andrew Scott'}]",matched,
who was the writer of the film [Lorna],Russ Meyer|James Griffith,1,who was the writer of the film [],MATCH (m:movie {name: 'Lorna'})-[:written_by]->(w:writer) RETURN w.name,"[{'w.name': 'James Griffith'}, {'w.name': 'Russ Meyer'}]",matched,
what genre of movie is [The Longest Day],Action|History,1,what genre of movie is [],"MATCH (m:movie {name: ""The Longest Day""})-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'History'}, {'g.name': 'Action'}]",matched,
[Jim Field Smith] was the director of which movies,She's Out of My League|Butter,1,[] was the director of which movies,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Jim Field Smith"" RETURN m.name","[{'m.name': 'Butter'}, {'m.name': ""She's Out of My League""}]",matched,
who was [Pride of the Bowery] directed by,Joseph H. Lewis,1,who was [] directed by,"MATCH (m:movie {name: ""Pride of the Bowery""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Joseph H. Lewis'}],matched,
which person directed [Kabul Express],Kabir Khan,1,which person directed [],"MATCH (m:movie {name: ""Kabul Express""})-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Kabir Khan'}],matched,
what films was [Jordan Crittenden] a writer on,Get to Know Your Rabbit,1,what films was [] a writer on,"MATCH (w:writer {name: ""Jordan Crittenden""})-[:written_by]-(m:movie) RETURN m.name",[{'m.name': 'Get to Know Your Rabbit'}],matched,
what do people think of [Beau Travail],good,1,what do people think of [],"MATCH (m:movie {name: ""Beau Travail""})-[:has_imdb_rating]->(r:imdbrating), (m)-[:has_imdb_votes]->(v:imdbvotes)
RETURN m.name, r.name as Rating, v.name as Votes",[],unmatched,
what movies did [Carles Torrens] direct,Apartment 143,1,what movies did [] direct,"MATCH (m:movie)-[:directed_by]->(d:director) WHERE d.name = ""Carles Torrens"" RETURN m.name",[{'m.name': 'Apartment 143'}],matched,
what movies can be described by [chuck palahniuk],Fight Club|Choke,1,what movies can be described by [],"MATCH (m:movie)-[:has_tags]->(t:tag), (m)-[:written_by]->(w:writer) WHERE w.name = ""Chuck Palahniuk"" AND t.name = ""chuck palahniuk"" RETURN m.name","[{'m.name': 'Choke'}, {'m.name': 'Fight Club'}]",matched,
